temp_c,temp_max_c,temp_min_c,rain_mm,wind_kmh,wind_gust_kmh,humidity,conditions,venue,date_str,lat,lon
10.1,15.1,4.2,0.051,35.3,0.0,71.4,"Rain, Partially cloudy",M.C.G.,2013-06-10,-37.82,144.9834
10.1,12.6,7.3,3.418,28.5,51.8,81.9,"Rain, Overcast",Docklands,2014-05-04,-37.8165,144.9475
12.6,16.1,9.7,0.27,29.5,38.2,89.5,"Rain, Partially cloudy",Adelaide Oval,2019-06-13,-34.9156,138.5961
11.9,13.4,10.4,8.023,26.5,50.8,74.9,"Rain, Partially cloudy",Adelaide Oval,2020-08-11,-34.9156,138.5961
21.1,29.8,13.6,0.0,14.7,28.8,66.9,Partially cloudy,M.C.G.,2022-03-19,-37.82,144.9834
16.6,20.7,12.5,0.0,19.8,41.0,38.3,Clear,Carrara,2023-08-19,-28.0067,153.3667
8.7,11.7,7.1,0.164,17.6,44.6,73.6,"Rain, Partially cloudy",Docklands,2025-08-16,-37.8165,144.9475
16.8,20.5,12.0,6.712,28.2,0.0,88.8,"Rain, Partially cloudy",Carrara,2013-06-08,-28.0067,153.3667
17.4,22.6,13.7,2.781,16.8,44.3,77.7,"Rain, Partially cloudy",Gabba,2018-05-26,-27.4858,153.0381
14.7,20.2,7.3,0.385,23.6,0.0,73.4,"Rain, Partially cloudy",Subiaco,2012-04-21,-31.9444,115.8308
10.2,13.0,6.0,0.362,18.4,0.0,83.3,"Rain, Partially cloudy",Football Park,2012-07-29,-34.88,138.4964
16.8,21.0,13.3,0.0,15.0,33.8,68.1,Partially cloudy,M.C.G.,2018-04-06,-37.82,144.9834
19.5,25.8,14.2,0.0,19.6,45.4,49.0,Clear,Perth Stadium,2022-04-23,-31.9512,115.8891
14.5,17.1,11.7,9.061,15.7,48.2,68.8,"Rain, Partially cloudy",Docklands,2022-04-30,-37.8165,144.9475
6.5,12.6,2.5,0.109,15.5,0.0,90.7,"Rain, Partially cloudy",M.C.G.,2012-06-11,-37.82,144.9834
11.3,16.2,8.1,0.0,27.6,0.0,71.7,Partially cloudy,Docklands,2013-08-10,-37.8165,144.9475
5.7,11.4,1.0,0.197,20.5,23.8,94.1,"Rain, Partially cloudy",University of Tasmania Stadium,2017-07-08,-41.4281,147.1383
21.6,27.7,15.5,0.0,25.1,40.3,73.1,Clear,Carrara,2020-10-09,-28.0067,153.3667
10.6,14.5,8.3,0.503,32.9,53.6,76.3,"Rain, Partially cloudy",Docklands,2013-07-26,-37.8165,144.9475
12.0,14.3,10.0,4.545,19.3,60.1,77.6,"Rain, Partially cloudy",Docklands,2023-04-09,-37.8165,144.9475
15.5,24.1,8.4,0.0,23.0,0.0,59.3,Clear,Subiaco,2012-05-27,-31.9444,115.8308
11.0,13.1,8.6,5.503,16.6,38.9,79.2,"Rain, Partially cloudy",M.C.G.,2022-06-26,-37.82,144.9834
19.4,24.6,14.0,0.004,22.2,32.0,75.0,"Rain, Partially cloudy",Carrara,2020-09-03,-28.0067,153.3667
15.1,21.6,7.0,0.0,25.8,55.4,59.0,Partially cloudy,M.C.G.,2024-09-28,-37.82,144.9834
15.6,20.9,11.6,0.0,16.6,47.2,39.2,Clear,Gabba,2024-07-21,-27.4858,153.0381
13.9,15.4,12.7,9.6,28.1,56.5,91.1,"Rain, Partially cloudy",Adelaide Oval,2023-05-28,-34.9156,138.5961
7.6,13.7,2.4,0.0,20.5,0.0,70.9,Partially cloudy,University of Tasmania Stadium,2013-05-18,-41.4281,147.1383
13.3,20.1,6.9,0.0,13.4,27.0,61.8,Clear,Adelaide Oval,2025-05-10,-34.9156,138.5961
16.5,23.1,10.8,0.0,20.3,0.0,55.4,Clear,Carrara,2012-08-25,-28.0067,153.3667
12.5,16.1,9.8,0.146,17.7,36.0,78.9,"Rain, Partially cloudy",M.C.G.,2015-06-06,-37.82,144.9834
12.9,16.1,9.1,0.002,7.5,21.2,94.0,"Rain, Partially cloudy",M.C.G.,2024-05-09,-37.82,144.9834
12.9,17.8,8.2,0.0,22.5,35.3,71.8,Partially cloudy,M.C.G.,2016-05-21,-37.82,144.9834
11.2,16.0,7.1,0.005,14.8,36.4,70.7,"Rain, Partially cloudy",M.C.G.,2019-08-17,-37.82,144.9834
6.6,9.9,0.5,0.198,37.1,46.4,85.0,"Snow, Rain, Partially cloudy",Eureka Stadium,2021-07-11,-37.5622,143.8503
14.7,21.0,8.5,0.0,10.6,25.6,68.9,Partially cloudy,Marvel Stadium,2019-04-19,-37.8165,144.9475
19.2,23.0,14.0,0.0,47.5,70.6,41.3,Clear,Gabba,2015-04-26,-27.4858,153.0381
12.9,17.0,10.6,0.011,38.9,64.4,77.9,"Rain, Partially cloudy",GMHBA Stadium,2017-08-12,-38.1581,144.3547
