game_id,year,round,roundname,date,localtime,venue,home_team,away_team,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,winner,is_final,is_grand_final
1706,2012,17,Round 17,2012-07-21 14:10:00,2012-07-21 13:40:00,Football Park,Adelaide,West Coast,124,75,19,10,11,9,Adelaide,0,0
1707,2012,17,Round 17,2012-07-21 16:40:00,2012-07-21 16:40:00,Carrara,Gold Coast,Brisbane Lions,48,59,5,18,8,11,Brisbane Lions,0,0
1709,2012,17,Round 17,2012-07-21 19:40:00,2012-07-21 19:10:00,Marrara Oval,Melbourne,Port Adelaide,56,84,8,8,12,12,Port Adelaide,0,0
1708,2012,17,Round 17,2012-07-21 19:40:00,2012-07-21 19:40:00,Docklands,Western Bulldogs,Carlton,84,102,12,12,16,6,Carlton,0,0
1710,2012,17,Round 17,2012-07-22 13:10:00,2012-07-22 13:10:00,S.C.G.,Sydney,St Kilda,105,76,15,15,10,16,Sydney,0,0
1711,2012,17,Round 17,2012-07-22 15:15:00,2012-07-22 15:15:00,M.C.G.,Richmond,North Melbourne,99,103,14,15,15,13,North Melbourne,0,0
1712,2012,17,Round 17,2012-07-22 16:40:00,2012-07-22 14:40:00,Subiaco,Fremantle,Greater Western Sydney,132,37,18,24,5,7,Fremantle,0,0
1713,2012,18,Round 18,2012-07-27 19:50:00,2012-07-27 19:50:00,Docklands,Essendon,Hawthorn,86,180,12,14,27,18,Hawthorn,0,0
1714,2012,18,Round 18,2012-07-28 13:45:00,2012-07-28 13:45:00,GMHBA Stadium,Geelong,Adelaide,102,75,15,12,11,9,Geelong,0,0
1726,2012,18,Round 18,2012-07-28 14:10:00,2012-07-28 14:10:00,Docklands,North Melbourne,Melbourne,127,73,19,13,11,7,North Melbourne,0,0
1727,2012,18,Round 18,2012-07-28 16:40:00,2012-07-28 16:40:00,Sydney Showground,Greater Western Sydney,Collingwood,54,174,7,12,26,18,Collingwood,0,0
1728,2012,18,Round 18,2012-07-28 19:40:00,2012-07-28 19:40:00,M.C.G.,Carlton,Richmond,95,91,14,11,13,13,Carlton,0,0
1729,2012,18,Round 18,2012-07-28 19:40:00,2012-07-28 19:40:00,Carrara,Gold Coast,Sydney,54,126,8,6,19,12,Sydney,0,0
1730,2012,18,Round 18,2012-07-29 13:10:00,2012-07-29 12:40:00,Football Park,Port Adelaide,Fremantle,48,75,6,12,11,9,Fremantle,0,0
1731,2012,18,Round 18,2012-07-29 15:15:00,2012-07-29 15:15:00,Docklands,St Kilda,Western Bulldogs,118,42,16,22,6,6,St Kilda,0,0
1732,2012,18,Round 18,2012-07-29 16:40:00,2012-07-29 14:40:00,Subiaco,West Coast,Brisbane Lions,175,77,28,7,12,5,West Coast,0,0
1733,2012,19,Round 19,2012-08-03 19:50:00,2012-08-03 19:50:00,M.C.G.,Hawthorn,Geelong,116,118,17,14,18,10,Geelong,0,0
1734,2012,19,Round 19,2012-08-04 13:45:00,2012-08-04 13:45:00,Docklands,Western Bulldogs,North Melbourne,61,115,8,13,18,7,North Melbourne,0,0
1739,2012,19,Round 19,2012-08-04 14:10:00,2012-08-04 14:10:00,Sydney Showground,Greater Western Sydney,Port Adelaide,107,73,16,11,10,13,Greater Western Sydney,0,0
1740,2012,19,Round 19,2012-08-04 16:40:00,2012-08-04 14:40:00,Subiaco,Fremantle,West Coast,113,48,17,11,6,12,Fremantle,0,0
1742,2012,19,Round 19,2012-08-04 19:40:00,2012-08-04 19:40:00,Gabba,Brisbane Lions,Richmond,84,132,12,12,20,12,Richmond,0,0
1741,2012,19,Round 19,2012-08-04 19:40:00,2012-08-04 19:40:00,M.C.G.,Collingwood,St Kilda,91,85,12,19,13,7,Collingwood,0,0
1743,2012,19,Round 19,2012-08-05 13:10:00,2012-08-05 13:10:00,M.C.G.,Melbourne,Gold Coast,108,66,16,12,9,12,Melbourne,0,0
1744,2012,19,Round 19,2012-08-05 15:15:00,2012-08-05 15:15:00,Docklands,Carlton,Sydney,71,93,10,11,14,9,Sydney,0,0
1745,2012,19,Round 19,2012-08-05 16:40:00,2012-08-05 16:10:00,Football Park,Adelaide,Essendon,104,100,16,8,15,10,Adelaide,0,0
